Rank,Makespan,LaborCost,Energy,Score,IsBest
1,250.0,1350.0,126.14920249715959,584.367744799091,Yes
2,247.0,1425.0,125.89767615642691,608.7672563700567,No
3,250.0,1425.0,125.03445616906218,609.5110259740999,No
4,244.0,1500.0,125.01198289537662,632.9638345265206,No
5,247.0,1500.0,124.84519618629933,633.9304627796158,No
6,242.0,1575.0,124.80929387727795,657.7189740407289,No
7,243.0,1575.0,124.72562259375506,658.0321992300017,No
8,232.0,1650.0,124.96179825038286,679.8677754401225,No
9,233.0,1650.0,124.52929127749448,680.0693732087983,No
10,244.0,1650.0,124.39911559762089,683.7677169912387,No
11,228.0,1725.0,123.72340591101056,703.6114898915233,No
12,228.0,1800.0,123.60835611799651,729.0746739577588,No
