f1,f2,f3
280.0,1500.0,129.04551796921857
280.0,1500.0,129.04551796921857
280.0,1500.0,129.04551796921857
280.0,1500.0,129.04551796921857
280.0,1500.0,129.04551796921857
280.0,1500.0,129.04551796921857
284.0,1350.0,125.3992677645607
280.0,1500.0,129.04551796921857
359.0,1275.0,148.08334459898134
265.0,1500.0,136.49375199751645
265.0,1500.0,136.49375199751645
265.0,1500.0,136.49375199751645
265.0,1500.0,136.49375199751645
265.0,1500.0,136.49375199751645
265.0,1500.0,136.49375199751645
232.0,1650.0,126.44541700718864
226.0,1950.0,127.78328230804586
394.0,1200.0,139.75715132173394
394.0,1200.0,139.75715132173394
394.0,1200.0,139.75715132173394
230.0,1800.0,130.27777867869654
230.0,1800.0,130.27777867869654
230.0,1800.0,130.27777867869654
230.0,1800.0,130.27777867869654
230.0,1800.0,130.27777867869654
230.0,1800.0,130.27777867869654
230.0,1800.0,130.27777867869654
230.0,1800.0,130.27777867869654
230.0,1800.0,130.27777867869654
230.0,1800.0,130.27777867869654
230.0,1800.0,130.27777867869654
230.0,1800.0,130.27777867869654
230.0,1800.0,130.27777867869654
375.0,1275.0,138.5272044602938
375.0,1275.0,138.5272044602938
272.0,1500.0,131.79824751481922
273.0,1500.0,131.4597825841679
272.0,1500.0,131.79824751481922
273.0,1500.0,131.4597825841679
272.0,1500.0,131.79824751481922
273.0,1500.0,131.4597825841679
272.0,1500.0,131.79824751481922
273.0,1500.0,131.4597825841679
272.0,1500.0,131.79824751481922
272.0,1500.0,131.79824751481922
236.0,1725.0,124.72731873593969
236.0,1725.0,124.72731873593969
236.0,1725.0,124.72731873593969
234.0,1800.0,123.12422059035345
236.0,1725.0,124.72731873593969
234.0,1800.0,123.12422059035345
234.0,1800.0,123.12422059035345
234.0,1800.0,123.12422059035345
229.0,1950.0,123.13964052317928
222.0,1875.0,128.53508999928002
222.0,1875.0,128.53508999928002
222.0,1875.0,128.53508999928002
222.0,1875.0,128.53508999928002
220.0,2025.0,126.63489444878478
220.0,2025.0,126.63489444878478
220.0,2025.0,126.63489444878478
282.0,1425.0,133.78941356308516
220.0,2025.0,126.63489444878478
277.0,1425.0,134.15193176430176
282.0,1425.0,133.78941356308516
220.0,2025.0,126.63489444878478
220.0,2025.0,126.63489444878478
282.0,1425.0,133.78941356308516
220.0,2025.0,126.63489444878478
277.0,1425.0,134.15193176430176
220.0,2025.0,126.63489444878478
282.0,1425.0,133.78941356308516
282.0,1425.0,133.78941356308516
220.0,2025.0,126.63489444878478
282.0,1425.0,133.78941356308516
220.0,2025.0,126.63489444878478
220.0,2025.0,126.63489444878478
282.0,1425.0,133.78941356308516
282.0,1425.0,133.78941356308516
220.0,2025.0,126.63489444878478
220.0,2025.0,126.63489444878478
282.0,1425.0,133.78941356308516
282.0,1425.0,133.78941356308516
220.0,2025.0,126.63489444878478
282.0,1425.0,133.78941356308516
222.0,1875.0,128.53508999928002
314.0,1275.0,148.2378402287244
314.0,1275.0,148.2378402287244
314.0,1275.0,148.2378402287244
314.0,1275.0,148.2378402287244
314.0,1275.0,148.2378402287244
314.0,1275.0,148.2378402287244
314.0,1275.0,148.2378402287244
314.0,1275.0,148.2378402287244
314.0,1275.0,148.2378402287244
314.0,1275.0,148.2378402287244
314.0,1275.0,148.2378402287244
314.0,1275.0,148.2378402287244
314.0,1275.0,148.2378402287244
314.0,1275.0,148.2378402287244
314.0,1275.0,148.2378402287244
314.0,1275.0,148.2378402287244
314.0,1275.0,148.2378402287244
314.0,1275.0,148.2378402287244
314.0,1275.0,148.2378402287244
314.0,1275.0,148.2378402287244
314.0,1275.0,148.2378402287244
314.0,1275.0,148.2378402287244
314.0,1275.0,148.2378402287244
226.0,2025.0,126.59811407948962
226.0,2025.0,126.59811407948962
226.0,2025.0,126.59811407948962
226.0,2025.0,126.59811407948962
226.0,2025.0,126.59811407948962
390.0,1200.0,144.72710427120728
390.0,1200.0,144.72710427120728
390.0,1200.0,144.72710427120728
390.0,1200.0,144.72710427120728
390.0,1200.0,144.72710427120728
390.0,1200.0,144.72710427120728
390.0,1200.0,144.72710427120728
390.0,1200.0,144.72710427120728
390.0,1200.0,144.72710427120728
390.0,1200.0,144.72710427120728
390.0,1200.0,144.72710427120728
390.0,1200.0,144.72710427120728
390.0,1200.0,144.72710427120728
390.0,1200.0,144.72710427120728
390.0,1200.0,144.72710427120728
390.0,1200.0,144.72710427120728
390.0,1200.0,144.72710427120728
390.0,1200.0,144.72710427120728
390.0,1200.0,144.72710427120728
390.0,1200.0,144.72710427120728
390.0,1200.0,144.72710427120728
390.0,1200.0,144.72710427120728
390.0,1200.0,144.72710427120728
390.0,1200.0,144.72710427120728
390.0,1200.0,144.72710427120728
390.0,1200.0,144.72710427120728
390.0,1200.0,144.72710427120728
390.0,1200.0,144.72710427120728
390.0,1200.0,144.72710427120728
390.0,1200.0,144.72710427120728
267.0,1500.0,132.46196284037697
270.0,1500.0,132.1411155070333
267.0,1500.0,132.46196284037697
270.0,1500.0,132.1411155070333
267.0,1500.0,132.46196284037697
270.0,1500.0,132.1411155070333
270.0,1500.0,132.1411155070333
228.0,1875.0,125.30072181413992
228.0,1875.0,125.30072181413992
228.0,1875.0,125.30072181413992
228.0,1875.0,125.30072181413992
228.0,1875.0,125.30072181413992
228.0,1875.0,125.30072181413992
228.0,1875.0,125.30072181413992
228.0,1875.0,125.30072181413992
228.0,1875.0,125.30072181413992
228.0,1875.0,125.30072181413992
228.0,1875.0,125.30072181413992
228.0,1875.0,125.30072181413992
228.0,1875.0,125.30072181413992
228.0,1875.0,125.30072181413992
228.0,1875.0,125.30072181413992
266.0,1500.0,132.67473212301974
266.0,1500.0,132.67473212301974
266.0,1500.0,132.67473212301974
266.0,1500.0,132.67473212301974
266.0,1500.0,132.67473212301974
266.0,1500.0,132.67473212301974
266.0,1500.0,132.67473212301974
266.0,1500.0,132.67473212301974
266.0,1500.0,132.67473212301974
266.0,1500.0,132.67473212301974
266.0,1500.0,132.67473212301974
266.0,1500.0,132.67473212301974
266.0,1500.0,132.67473212301974
266.0,1500.0,132.67473212301974
266.0,1500.0,132.67473212301974
266.0,1500.0,132.67473212301974
266.0,1500.0,132.67473212301974
266.0,1500.0,132.67473212301974
266.0,1500.0,132.67473212301974
266.0,1500.0,132.67473212301974
266.0,1500.0,132.67473212301974
266.0,1500.0,132.67473212301974
266.0,1500.0,132.67473212301974
266.0,1500.0,132.67473212301974
266.0,1500.0,132.67473212301974
266.0,1500.0,132.67473212301974
266.0,1500.0,132.67473212301974
266.0,1500.0,132.67473212301974
266.0,1500.0,132.67473212301974
266.0,1500.0,132.67473212301974
266.0,1500.0,132.67473212301974
266.0,1500.0,132.67473212301974
266.0,1500.0,132.67473212301974
266.0,1500.0,132.67473212301974
266.0,1500.0,132.67473212301974
266.0,1500.0,132.67473212301974
224.0,1950.0,127.84921752377694
264.0,1500.0,139.97996153514967
264.0,1500.0,139.97996153514967
264.0,1500.0,139.97996153514967
264.0,1500.0,139.97996153514967
264.0,1500.0,139.97996153514967
264.0,1500.0,139.97996153514967
264.0,1500.0,139.97996153514967
218.0,2025.0,129.05063528146582
218.0,2025.0,129.05063528146582
218.0,2025.0,129.05063528146582
215.0,2025.0,130.0590624536665
242.0,1650.0,124.07007393975
242.0,1650.0,124.07007393975
242.0,1650.0,124.07007393975
242.0,1650.0,124.07007393975
242.0,1650.0,124.07007393975
242.0,1650.0,124.07007393975
242.0,1650.0,124.07007393975
240.0,1575.0,126.79122847015138
242.0,1650.0,124.07007393975
242.0,1650.0,124.07007393975
240.0,1575.0,126.79122847015138
242.0,1650.0,124.07007393975
242.0,1650.0,124.07007393975
240.0,1575.0,126.79122847015138
242.0,1650.0,124.07007393975
239.0,1575.0,126.79289517535227
242.0,1650.0,124.07007393975
239.0,1575.0,126.79289517535227
242.0,1650.0,124.07007393975
281.0,1500.0,128.57488488500564
